language_name,repo_name
C,20tab/UnrealEnginePython
C,64characters/Telephone
C,AOSC-Dev/aosc-os-abbs
C,ARM-software/ComputeLibrary
C,ASPLes/nopoll
C,AZO234/NP2kai
C,Achain-Dev/Achain
C,AdAway/AdAway
C,Addepar/buck
C,AlDanial/cloc
C,AliSoftware/OHHTTPStubs
C,AliceO2Group/AliceO2
C,AnHardt/Marlin
C,ApolloAuto/apollo
C,BelledonneCommunications/linphone-iphone
C,Bilibili/ijkplayer
C,BradLarson/GPUImage2
C,CNugteren/CLBlast
C,CPFL/Autoware
C,Chuyu-Team/VC-LTL
C,Cockatrice/Cockatrice
C,DEAP/deap
C,DIVGAMES/DIV-Games-Studio
C,DanBloomberg/leptonica
C,Dav1dde/glad
C,DaveGamble/cJSON
C,DrKLO/Telegram
C,ENCODE-DCC/encoded
C,EQEmu/Server
C,EmpireProject/Empire
C,Esri/arcgis-runtime-toolkit-qt
C,EtchedPixels/FUZIX
C,Extrawurst/cimgui
C,FBTUG/DevZone
C,FOGProject/fogproject
C,FRRouting/frr
C,FWGS/xash3d
C,Facepunch/Facepunch.Steamworks
C,Fluorohydride/ygopro
C,GNOME/gnome-builder
C,GarageGames/Torque3D
C,GrahamDumpleton/mod_wsgi
C,HelloZeroNet/ZeroNet
C,Intel-bigdata/SSM
C,Intel-tensorflow/tensorflow
C,IronLanguages/ironpython3
C,JeremyKuhne/corefx
C,JetBrains/intellij-community
C,JoeLametta/whipper
C,KlausT/ccminer
C,KnuffApp/Knuff
C,Kronuz/Xapiand
C,LMMS/lmms
C,LordNoteworthy/al-khaser
C,M66B/NetGuard
C,MRPT/mrpt
C,MacGapProject/MacGap1
C,MarlinFirmware/Marlin
C,MatterHackers/agg-sharp
C,MiCode/Xiaomi_Kernel_OpenSource
C,Microsoft/ChakraCore
C,Microsoft/PTVS
C,Microsoft/WinObjC
C,Microsoft/diskspd
C,Microsoft/sarif-sdk
C,NeblioTeam/neblio
C,NetworkDeviceTaxonomy/wifi_taxonomy
C,NixOS/nix
C,NolaDonato/GearVRf
C,OPENDAP/bes
C,OpenPLi/enigma2
C,PX4/Firmware
C,PaddlePaddle/Paddle
C,PerBothner/DomTerm
C,Pithikos/C-Thread-Pool
C,PurpleI2P/i2pd
C,Qihoo360/phptrace
C,RPCS3/rpcs3
C,RT-Thread/rt-thread
C,Rdatatable/data.table
C,Rinnegatamante/vitaQuake
C,RoboJackets/igvc-software
C,Rochet2/TrinityCore
C,SaschaWillems/Vulkan
C,Screetsec/TheFatRat
C,SeleniumHQ/selenium
C,Show-Me-the-Code/python
C,SickGear/SickGear
C,Snaipe/Criterion
C,SofaDefrost/sofa
C,Steveice10/FBI
C,SuperElastix/elastix
C,SwiftStudies/OysterKit
C,TechEmpower/FrameworkBenchmarks
C,ThePhD/sol2
C,TrinityCore/TrinityCore
C,Tylemagne/Gopher360
C,UNOMP/unified-node-open-mining-portal
C,Ultimaker/libArcus
C,WebAssembly/binaryen
C,WilixLead/iohook
C,Wireless-Innovation-Forum/Spectrum-Access-System
C,XX-net/XX-Net
C,Yggdroot/LeaderF
C,YosysHQ/yosys
C,a0rtega/pafish
C,a2o/snoopy
C,adafruit/circuitpython
C,ahezard/nds-bootstrap
C,alexandred/VoodooI2C
C,alibaba/atlas
C,alisw/AliPhysics
C,allinurl/goaccess
C,ambrop72/badvpn
C,anbox/anbox
C,andlabs/libui
C,angr/angr
C,antirez/redis
C,apache-spark-on-k8s/spark
C,apache/arrow
C,apache/drill
C,apache/hadoop
C,apache/spark
C,apache/zookeeper
C,apple/swift
C,appleseedhq/appleseed
C,appleseedhq/appleseed-maya
C,arangodb/arangodb
C,aria2/aria2
C,arjun024/mkernel
C,arut/nginx-rtmp-module
C,asLody/VirtualApp
C,astropy/astropy
C,aws/aws-sdk-cpp
C,axkibe/lsyncd
C,baidu-research/warp-ctc
C,baldurk/renderdoc
C,bang590/JSPatch
C,baskerville/sxhkd
C,bastibl/gr-rds
C,bawn/LCNetwork
C,bazelbuild/bazel
C,bcosorg/bcos
C,beagle-dev/beagle-lib
C,benoitsteiner/tensorflow-opencl
C,betaflight/betaflight
C,bit3/jsass
C,bitcoin/bitcoin
C,bordaigorl/sublime-evernote
C,bos/criterion
C,bradyhouse/house
C,brave/muon
C,breadwallet/breadwallet-core
C,brion/ogv.js
C,brpc/brpc
C,bsteinb/rsmpi
C,bt3gl/My-Gray-Hacker-Resources
C,bugobliterator/ardupilot-chibios
C,butor/blackbird
C,caffe2/caffe2
C,choishingwan/PRSice
C,chukong/programmers-guide-samples
C,cilium/cilium
C,clementgallet/libTAS
C,clintbellanger/flare-engine
C,cmderdev/cmder
C,cmu-db/peloton
C,coala/coala-bears
C,cockpit-project/cockpit
C,cockroachdb/cockroach
C,codebox/bitmeteros
C,codenameone/CodenameOne
C,coleifer/peewee
C,commaai/openpilot
C,commaai/panda
C,connormanning/entwine
C,coolsnowwolf/lede
C,coq/coq
C,coreos/flannel
C,coreos/ignition
C,couchbase/couchbase-lite-ios
C,cucumber/cucumber
C,d0k3/GodMode9
C,danielgindi/Charts
C,darlinghq/darling
C,databrary/databrary
C,dcos/dcos
C,deeplearning4j/libnd4j
C,devtools-html/debugger.html
C,dimok789/loadiine_gx2
C,dmlc/rabit
C,dmlc/tvm
C,dmsurti/AssimpKit
C,docker-library/official-images
C,domoticz/domoticz
C,donaldsharp/frr
C,dotnet/core-setup
C,drawpile/Drawpile
C,dtag-dev-sec/tpotce
C,dtk/dtk-server
C,dude719/ReClassEx
C,dylanaraps/pywal
C,eclipse/kura
C,edo9300/ygopro
C,electron/electron
C,emacs-mirror/emacs
C,envoyproxy/envoy
C,erdc/proteus
C,ericsink/SQLitePCL.raw
C,espressif/esp-idf
C,ethereum/go-ethereum
C,ethereum/solidity
C,eventql/eventql
C,evilhero/mylar
C,facebook/buck
C,facebook/conceal
C,facebook/flow
C,facebook/folly
C,facebook/pop
C,facebook/react
C,facebook/rocksdb
C,fcwu/docker-ubuntu-vnc-desktop
C,firebase/quickstart-cpp
C,flatpak/flatpak
C,flux-framework/flux-core
C,fractalclone/zephyr-riscv
C,fsprojects/Paket
C,gali8/Tesseract-OCR-iOS
C,gap-system/gap
C,gartnera/headunit
C,geany/geany
C,geodynamics/specfem3d
C,getlantern/lantern
C,ggreer/the_silver_searcher
C,git-up/GitUp
C,gitextensions/gitextensions
C,glassechidna/zxing-cpp
C,gnachman/iTerm2
C,gnuradio/gnuradio
C,gnustep/libobjc2
C,google/earthenterprise
C,google/eddystone
C,google/googletest
C,google/leveldb
